flow_id,src,dst,path_idx,path_hops,rate_mbps,sent_bytes,delivered_bytes,loss_bytes,loss_pct
1,0,1,0,q_r1_r5 | q_r5_r7 | q_r7_r2,0.1921,49500,49500,0,0.00
2,0,1,1,q_r1_r3 | q_r3_r7 | q_r7_r2,7.6296,1908000,1908000,0,0.00
3,0,1,2,q_r1_r5 | q_r5_r15 | q_r15_r2,15.0279,3757500,3757500,0,0.00
4,0,2,0,q_r1_r3,71.3180,17830500,17830500,0,0.00
5,0,4,0,q_r1_r5,27.8553,6964500,6964500,0,0.00
6,0,4,1,q_r1_r3 | q_r3_r13 | q_r13_r5,0.0262,7500,7500,0,0.00
7,0,4,2,q_r1_r3 | q_r3_r7 | q_r7_r5,0.0819,21000,21000,0,0.00
8,0,4,3,q_r1_r16 | q_r16_r22 | q_r22_r19 | q_r19_r5,0.0522,13500,13500,0,0.00
9,0,6,0,q_r1_r5 | q_r5_r7,0.5111,129000,129000,0,0.00
10,0,6,1,q_r1_r3 | q_r3_r7,1.1222,282000,282000,0,0.00
11,0,7,0,q_r1_r5 | q_r5_r8,75.3579,18840000,18840000,0,0.00
12,0,7,1,q_r1_r3 | q_r3_r13 | q_r13_r8,16.1239,4032000,4032000,0,0.00
13,0,7,2,q_r1_r5 | q_r5_r13 | q_r13_r8,98.0953,24525000,24523500,1500,0.01
14,0,7,3,q_r1_r3 | q_r3_r13 | q_r13_r5 | q_r5_r8,0.1813,46500,46500,0,0.00
15,0,8,0,q_r1_r20 | q_r20_r9,196.0414,49011000,49008000,3000,0.01
16,0,8,1,q_r1_r10 | q_r10_r9,81.3968,20350500,20349000,1500,0.01
17,0,8,2,q_r1_r5 | q_r5_r4 | q_r4_r21 | q_r21_r10 | q_r10_r9,98.8405,24711000,24709500,1500,0.01
18,0,8,3,q_r1_r3 | q_r3_r13 | q_r13_r5 | q_r5_r4 | q_r4_r21 | q_r21_r10 | q_r10_r9,6.9492,1738500,1738500,0,0.00
19,0,9,0,q_r1_r10,1370.1752,342544500,342543000,1500,0.00
20,0,10,0,q_r1_r5 | q_r5_r11,0.1095,28500,28500,0,0.00
21,0,10,2,q_r1_r5 | q_r5_r19 | q_r19_r22 | q_r22_r11,0.1328,34500,34500,0,0.00
22,0,11,0,q_r1_r5 | q_r5_r13 | q_r13_r12,4.5006,1126500,189000,937500,83.22
23,0,11,1,q_r1_r3 | q_r3_r13 | q_r13_r12,183.3045,45826500,9307500,36519000,79.69
24,0,11,2,q_r1_r5 | q_r5_r15 | q_r15_r12,190.4539,47614500,22570500,25044000,52.60
25,0,11,3,q_r1_r16 | q_r16_r22 | q_r22_r15 | q_r15_r12,1.3362,334500,82500,252000,75.34
26,0,12,0,q_r1_r5 | q_r5_r13,12.9981,3250500,3250500,0,0.00
27,0,12,1,q_r1_r3 | q_r3_r13,16.4745,4119000,4119000,0,0.00
28,0,12,3,q_r1_r3 | q_r3_r7 | q_r7_r6 | q_r6_r13,0.0123,4500,4500,0,0.00
29,0,14,0,q_r1_r5 | q_r5_r15,6.5491,1638000,1638000,0,0.00
30,0,15,0,q_r1_r16,4.6811,1171500,1171500,0,0.00
31,0,17,1,q_r1_r5 | q_r5_r13 | q_r13_r6 | q_r6_r18,0.0486,13500,13500,0,0.00
32,0,17,2,q_r1_r3 | q_r3_r13 | q_r13_r6 | q_r6_r18,0.2362,60000,60000,0,0.00
33,0,17,3,q_r1_r5 | q_r5_r19 | q_r19_r22 | q_r22_r18,0.0147,4500,4500,0,0.00
34,0,18,0,q_r1_r5 | q_r5_r19,811.1063,202777500,202773000,4500,0.00
35,0,18,2,q_r1_r5 | q_r5_r7 | q_r7_r22 | q_r22_r19,41.1810,10296000,10294500,1500,0.01
36,0,18,3,q_r1_r3 | q_r3_r13 | q_r13_r5 | q_r5_r19,7.3918,1848000,1848000,0,0.00
37,0,19,0,q_r1_r20,855.0022,213751500,213744000,7500,0.00
38,0,19,1,q_r1_r10 | q_r10_r9 | q_r9_r20,206.4662,51618000,51616500,1500,0.00
39,0,19,2,q_r1_r5 | q_r5_r4 | q_r4_r21 | q_r21_r10 | q_r10_r9 | q_r9_r20,209.9818,52495500,52492500,3000,0.01
40,0,19,3,q_r1_r3 | q_r3_r13 | q_r13_r5 | q_r5_r4 | q_r4_r21 | q_r21_r10 | q_r10_r9 | q_r9_r20,53.0356,13260000,13258500,1500,0.01
41,0,21,1,q_r1_r5 | q_r5_r19 | q_r19_r22,0.1265,33000,31500,1500,4.55
42,0,21,2,q_r1_r3 | q_r3_r7 | q_r7_r22,0.3015,76500,75000,1500,1.96
43,1,0,1,q_r2_r7 | q_r7_r3 | q_r3_r1,1.4689,367500,367500,0,0.00
44,1,0,2,q_r2_r7 | q_r7_r5 | q_r5_r1,0.6090,153000,153000,0,0.00
45,1,2,0,q_r2_r7 | q_r7_r3,1.3074,327000,327000,0,0.00
46,1,2,3,q_r2_r15 | q_r15_r5 | q_r5_r13 | q_r13_r3,0.0248,7500,7500,0,0.00
47,1,3,0,q_r2_r15 | q_r15_r5 | q_r5_r4,0.0865,22500,22500,0,0.00
48,1,3,1,q_r2_r7 | q_r7_r5 | q_r5_r4,2.7996,700500,700500,0,0.00
49,1,4,0,q_r2_r15 | q_r15_r5,0.6271,157500,157500,0,0.00
50,1,4,1,q_r2_r7 | q_r7_r5,17.9052,4477500,4477500,0,0.00
51,1,5,0,q_r2_r7 | q_r7_r6,0.0109,3000,3000,0,0.00
52,1,6,0,q_r2_r7,18.6418,4660500,4660500,0,0.00
53,1,6,2,q_r2_r15 | q_r15_r5 | q_r5_r7,1.3093,328500,328500,0,0.00
54,1,6,3,q_r2_r15 | q_r15_r22 | q_r22_r7,0.0928,24000,24000,0,0.00
55,1,9,1,q_r2_r7 | q_r7_r3 | q_r3_r1 | q_r1_r10,3.0699,768000,768000,0,0.00
56,1,9,2,q_r2_r7 | q_r7_r5 | q_r5_r1 | q_r1_r10,1.3791,345000,345000,0,0.00
57,1,11,0,q_r2_r15 | q_r15_r12,0.2496,63000,19500,43500,69.05
58,1,11,1,q_r2_r7 | q_r7_r22 | q_r22_r15 | q_r15_r12,0.0274,7500,3000,4500,60.00
59,1,11,2,q_r2_r15 | q_r15_r5 | q_r5_r13 | q_r13_r12,0.1429,36000,6000,30000,83.33
60,1,11,3,q_r2_r7 | q_r7_r3 | q_r3_r13 | q_r13_r12,0.1134,28500,7500,21000,73.68
61,1,12,1,q_r2_r7 | q_r7_r3 | q_r3_r13,35.3494,8838000,8838000,0,0.00
62,1,12,2,q_r2_r15 | q_r15_r12 | q_r12_r13,0.6084,153000,42000,111000,72.55
63,1,14,0,q_r2_r15,10.8734,2719500,2719500,0,0.00
64,1,14,2,q_r2_r7 | q_r7_r5 | q_r5_r15,0.0193,6000,6000,0,0.00
65,1,15,0,q_r2_r15 | q_r15_r22 | q_r22_r16,0.5829,147000,147000,0,0.00
66,1,15,1,q_r2_r7 | q_r7_r22 | q_r22_r16,1.0127,253500,252000,1500,0.59
67,1,16,1,q_r2_r7 | q_r7_r22 | q_r22_r19 | q_r19_r17,0.0423,12000,12000,0,0.00
68,1,18,0,q_r2_r15 | q_r15_r5 | q_r5_r19,5.6467,1413000,1413000,0,0.00
69,1,18,1,q_r2_r7 | q_r7_r22 | q_r22_r19,33.5966,8400000,8400000,0,0.00
70,1,18,2,q_r2_r15 | q_r15_r22 | q_r22_r19,33.1228,8281500,8281500,0,0.00
71,1,18,3,q_r2_r7 | q_r7_r5 | q_r5_r19,74.9210,18730500,18729000,1500,0.01
72,1,19,0,q_r2_r15 | q_r15_r5 | q_r5_r1 | q_r1_r20,0.6339,159000,157500,1500,0.94
73,1,19,1,q_r2_r7 | q_r7_r3 | q_r3_r1 | q_r1_r20,5.0655,1267500,1266000,1500,0.12
74,1,19,2,q_r2_r7 | q_r7_r5 | q_r5_r1 | q_r1_r20,3.3395,835500,834000,1500,0.18
75,1,19,3,q_r2_r15 | q_r15_r22 | q_r22_r16 | q_r16_r1 | q_r1_r20,0.0125,4500,4500,0,0.00
76,1,20,0,q_r2_r15 | q_r15_r5 | q_r5_r4 | q_r4_r21,10.4948,2625000,2625000,0,0.00
77,1,20,1,q_r2_r7 | q_r7_r5 | q_r5_r4 | q_r4_r21,32.1124,8029500,8026500,3000,0.04
78,1,20,3,q_r2_r14 | q_r14_r7 | q_r7_r5 | q_r5_r4 | q_r4_r21,0.7175,180000,180000,0,0.00
79,1,21,0,q_r2_r15 | q_r15_r22,3.9443,987000,985500,1500,0.15
80,1,21,1,q_r2_r7 | q_r7_r22,10.6871,2673000,2671500,1500,0.06
81,2,0,0,q_r3_r1,1883.7773,470944500,470940000,4500,0.00
82,2,0,1,q_r3_r13 | q_r13_r5 | q_r5_r1,484.8124,121204500,121200000,4500,0.00
83,2,0,2,q_r3_r7 | q_r7_r5 | q_r5_r1,736.3163,184080000,184075500,4500,0.00
84,2,0,3,q_r3_r13 | q_r13_r8 | q_r8_r5 | q_r5_r1,39.3870,9847500,9847500,0,0.00
85,2,1,0,q_r3_r7 | q_r7_r2,0.8224,207000,207000,0,0.00
86,2,1,2,q_r3_r13 | q_r13_r12 | q_r12_r15 | q_r15_r2,0.0404,10500,1500,9000,85.71
87,2,1,3,q_r3_r7 | q_r7_r22 | q_r22_r15 | q_r15_r2,0.7443,187500,187500,0,0.00
88,2,3,0,q_r3_r13 | q_r13_r5 | q_r5_r4,0.0813,21000,21000,0,0.00
89,2,3,1,q_r3_r7 | q_r7_r5 | q_r5_r4,0.1476,37500,37500,0,0.00
90,2,3,2,q_r3_r1 | q_r1_r5 | q_r5_r4,0.2339,58500,58500,0,0.00
91,2,4,0,q_r3_r13 | q_r13_r5,354.0098,88503000,88501500,1500,0.00
92,2,4,1,q_r3_r7 | q_r7_r5,472.6662,118167000,118165500,1500,0.00
93,2,4,2,q_r3_r1 | q_r1_r5,624.7802,156196500,156193500,3000,0.00
94,2,4,3,q_r3_r13 | q_r13_r8 | q_r8_r5,0.4679,117000,117000,0,0.00
95,2,5,0,q_r3_r13 | q_r13_r6,1387.7617,346941000,346938000,3000,0.00
96,2,5,1,q_r3_r7 | q_r7_r6,1621.3622,405342000,405336000,6000,0.00
97,2,5,2,q_r3_r13 | q_r13_r5 | q_r5_r7 | q_r7_r6,355.0592,88765500,88764000,1500,0.00
98,2,5,3,q_r3_r1 | q_r1_r5 | q_r5_r13 | q_r13_r6,263.7861,65947500,65946000,1500,0.00
99,2,6,0,q_r3_r7,997.6542,249414000,249412500,1500,0.00
100,2,6,1,q_r3_r13 | q_r13_r6 | q_r6_r7,35.2764,8820000,8820000,0,0.00
101,2,6,2,q_r3_r1 | q_r1_r5 | q_r5_r7,108.6790,27171000,27169500,1500,0.01
102,2,6,3,q_r3_r13 | q_r13_r5 | q_r5_r7,440.9836,110247000,110245500,1500,0.00
103,2,7,0,q_r3_r13 | q_r13_r8,0.3348,84000,84000,0,0.00
104,2,7,2,q_r3_r13 | q_r13_r5 | q_r5_r8,0.0367,10500,10500,0,0.00
105,2,7,3,q_r3_r1 | q_r1_r5 | q_r5_r8,0.0192,6000,6000,0,0.00
106,2,8,0,q_r3_r1 | q_r1_r20 | q_r20_r9,0.0520,13500,13500,0,0.00
107,2,9,0,q_r3_r1 | q_r1_r10,30.5069,7627500,7627500,0,0.00
108,2,9,1,q_r3_r13 | q_r13_r5 | q_r5_r1 | q_r1_r10,0.1022,27000,27000,0,0.00
109,2,9,3,q_r3_r7 | q_r7_r5 | q_r5_r1 | q_r1_r10,0.2831,72000,72000,0,0.00
110,2,10,0,q_r3_r13 | q_r13_r5 | q_r5_r11,0.0137,4500,4500,0,0.00
111,2,10,1,q_r3_r7 | q_r7_r22 | q_r22_r11,0.0355,9000,9000,0,0.00
112,2,10,2,q_r3_r1 | q_r1_r5 | q_r5_r11,0.0565,15000,15000,0,0.00
113,2,10,3,q_r3_r7 | q_r7_r5 | q_r5_r11,0.0931,24000,24000,0,0.00
114,2,11,0,q_r3_r13 | q_r13_r12,0.0622,16500,4500,12000,72.73
115,2,11,1,q_r3_r7 | q_r7_r22 | q_r22_r15 | q_r15_r12,0.1502,39000,12000,27000,69.23
116,2,11,2,q_r3_r13 | q_r13_r5 | q_r5_r15 | q_r15_r12,0.2105,54000,13500,40500,75.00
117,2,11,3,q_r3_r1 | q_r1_r5 | q_r5_r13 | q_r13_r12,0.4695,118500,19500,99000,83.54
118,2,12,0,q_r3_r13,0.8226,207000,205500,1500,0.72
119,2,13,0,q_r3_r7 | q_r7_r14,0.1813,46500,46500,0,0.00
120,2,13,1,q_r3_r7 | q_r7_r2 | q_r2_r14,0.1244,31500,31500,0,0.00
121,2,13,2,q_r3_r13 | q_r13_r6 | q_r6_r7 | q_r7_r14,0.0965,25500,24000,1500,5.88
122,2,13,3,q_r3_r13 | q_r13_r5 | q_r5_r7 | q_r7_r14,0.1700,43500,42000,1500,3.45
123,2,14,0,q_r3_r13 | q_r13_r12 | q_r12_r15,28.7026,7176000,1033500,6142500,85.60
124,2,14,1,q_r3_r7 | q_r7_r22 | q_r22_r15,0.5534,139500,139500,0,0.00
125,2,14,2,q_r3_r13 | q_r13_r5 | q_r5_r15,80.4896,20122500,20121000,1500,0.01
126,2,14,3,q_r3_r1 | q_r1_r5 | q_r5_r15,46.1878,11547000,11547000,0,0.00
127,2,15,0,q_r3_r1 | q_r1_r16,1.3205,331500,331500,0,0.00
128,2,15,1,q_r3_r7 | q_r7_r22 | q_r22_r16,0.7926,199500,199500,0,0.00
129,2,15,2,q_r3_r13 | q_r13_r5 | q_r5_r1 | q_r1_r16,0.9162,229500,228000,1500,0.65
130,2,15,3,q_r3_r7 | q_r7_r5 | q_r5_r1 | q_r1_r16,1.1866,297000,295500,1500,0.51
131,2,17,0,q_r3_r13 | q_r13_r6 | q_r6_r18,47.9485,11988000,11986500,1500,0.01
132,2,17,1,q_r3_r7 | q_r7_r22 | q_r22_r18,19.7183,4930500,4929000,1500,0.03
133,2,17,2,q_r3_r7 | q_r7_r6 | q_r6_r18,14.2402,3561000,3559500,1500,0.04
134,2,18,0,q_r3_r13 | q_r13_r5 | q_r5_r19,182.4618,45616500,45613500,3000,0.01
135,2,18,1,q_r3_r7 | q_r7_r22 | q_r22_r19,269.6910,67423500,67420500,3000,0.00
136,2,18,2,q_r3_r1 | q_r1_r5 | q_r5_r19,539.2418,134811000,134809500,1500,0.00
137,2,18,3,q_r3_r7 | q_r7_r5 | q_r5_r19,534.3075,133578000,133573500,4500,0.00
138,2,19,0,q_r3_r1 | q_r1_r20,0.2069,52500,52500,0,0.00
139,2,19,1,q_r3_r13 | q_r13_r5 | q_r5_r1 | q_r1_r20,0.2164,55500,54000,1500,2.70
140,2,19,2,q_r3_r1 | q_r1_r10 | q_r10_r9 | q_r9_r20,0.8663,217500,217500,0,0.00
141,2,19,3,q_r3_r7 | q_r7_r5 | q_r5_r1 | q_r1_r20,0.2116,54000,52500,1500,2.78
142,2,20,0,q_r3_r1 | q_r1_r10 | q_r10_r21,0.4942,124500,123000,1500,1.20
143,2,20,1,q_r3_r13 | q_r13_r5 | q_r5_r4 | q_r4_r21,0.0815,21000,19500,1500,7.14
144,2,20,2,q_r3_r1 | q_r1_r5 | q_r5_r4 | q_r4_r21,0.0929,24000,22500,1500,6.25
145,2,20,3,q_r3_r7 | q_r7_r5 | q_r5_r4 | q_r4_r21,0.3100,78000,76500,1500,1.92
146,2,21,0,q_r3_r7 | q_r7_r22,13.2823,3321000,3319500,1500,0.05
147,2,21,3,q_r3_r13 | q_r13_r12 | q_r12_r15 | q_r15_r22,0.2983,75000,12000,63000,84.00
148,3,0,0,q_r4_r5 | q_r5_r1,26.6608,6666000,6666000,0,0.00
149,3,0,2,q_r4_r5 | q_r5_r13 | q_r13_r3 | q_r3_r1,0.0102,3000,1500,1500,50.00
150,3,0,3,q_r4_r17 | q_r17_r19 | q_r19_r5 | q_r5_r1,1.4510,363000,363000,0,0.00
151,3,1,0,q_r4_r5 | q_r5_r7 | q_r7_r2,0.0603,16500,16500,0,0.00
152,3,1,1,q_r4_r5 | q_r5_r15 | q_r15_r2,0.0810,21000,21000,0,0.00
153,3,2,0,q_r4_r5 | q_r5_r13 | q_r13_r3,0.0132,4500,4500,0,0.00
154,3,2,1,q_r4_r5 | q_r5_r7 | q_r7_r3,0.0923,24000,24000,0,0.00
155,3,2,2,q_r4_r5 | q_r5_r1 | q_r1_r3,0.3511,88500,88500,0,0.00
156,3,4,0,q_r4_r5,25.8154,6454500,6454500,0,0.00
157,3,5,0,q_r4_r5 | q_r5_r13 | q_r13_r6,0.8081,202500,202500,0,0.00
158,3,5,1,q_r4_r5 | q_r5_r7 | q_r7_r6,0.1942,49500,49500,0,0.00
159,3,5,3,q_r4_r17 | q_r17_r19 | q_r19_r22 | q_r22_r7 | q_r7_r6,0.0992,25500,25500,0,0.00
160,3,6,0,q_r4_r5 | q_r5_r7,179.1917,44799000,44797500,1500,0.00
161,3,6,1,q_r4_r17 | q_r17_r19 | q_r19_r22 | q_r22_r7,16.5587,4140000,4140000,0,0.00
162,3,6,2,q_r4_r5 | q_r5_r13 | q_r13_r6 | q_r6_r7,0.0490,13500,13500,0,0.00
163,3,6,3,q_r4_r17 | q_r17_r19 | q_r19_r5 | q_r5_r7,0.4946,124500,124500,0,0.00
164,3,8,0,q_r4_r21 | q_r21_r10 | q_r10_r9,0.0167,4500,4500,0,0.00
165,3,8,1,q_r4_r5 | q_r5_r1 | q_r1_r20 | q_r20_r9,0.1117,28500,28500,0,0.00
166,3,8,2,q_r4_r5 | q_r5_r1 | q_r1_r10 | q_r10_r9,0.0382,10500,10500,0,0.00
167,3,9,0,q_r4_r21 | q_r21_r10,3.8846,972000,972000,0,0.00
168,3,9,1,q_r4_r5 | q_r5_r1 | q_r1_r10,4.5809,1146000,1146000,0,0.00
169,3,9,2,q_r4_r17 | q_r17_r19 | q_r19_r5 | q_r5_r1 | q_r1_r10,0.3886,97500,97500,0,0.00
170,3,10,0,q_r4_r5 | q_r5_r11,0.0356,9000,7500,1500,16.67
171,3,14,0,q_r4_r5 | q_r5_r15,53.4152,13354500,13353000,1500,0.01
172,3,14,1,q_r4_r17 | q_r17_r19 | q_r19_r22 | q_r22_r15,0.3845,97500,97500,0,0.00
173,3,14,2,q_r4_r5 | q_r5_r13 | q_r13_r12 | q_r12_r15,0.0234,6000,0,6000,100.00
174,3,14,3,q_r4_r17 | q_r17_r19 | q_r19_r5 | q_r5_r15,0.0515,13500,13500,0,0.00
175,3,15,0,q_r4_r5 | q_r5_r1 | q_r1_r16,0.1772,45000,43500,1500,3.33
176,3,15,1,q_r4_r21 | q_r21_r10 | q_r10_r1 | q_r1_r16,0.0559,15000,15000,0,0.00
177,3,15,2,q_r4_r5 | q_r5_r19 | q_r19_r22 | q_r22_r16,0.8342,210000,208500,1500,0.71
