src,dst,sent_bytes,delivered_bytes,loss_bytes,loss_pct
0,1,5715000,5715000,0,0.00
0,2,17830500,17830500,0,0.00
0,4,7006500,7006500,0,0.00
0,6,411000,411000,0,0.00
0,7,47443500,47442000,1500,0.00
0,8,95811000,95805000,6000,0.01
0,9,342544500,342543000,1500,0.00
0,10,63000,63000,0,0.00
0,11,94902000,32149500,62752500,66.12
0,12,7374000,7374000,0,0.00
0,14,1638000,1638000,0,0.00
0,15,1171500,1171500,0,0.00
0,17,78000,78000,0,0.00
0,18,214921500,214915500,6000,0.00
0,19,331125000,331111500,13500,0.00
0,21,109500,106500,3000,2.74
1,0,520500,520500,0,0.00
1,2,334500,334500,0,0.00
1,3,723000,723000,0,0.00
1,4,4635000,4635000,0,0.00
1,5,3000,3000,0,0.00
1,6,5013000,5013000,0,0.00
1,9,1113000,1113000,0,0.00
1,11,135000,36000,99000,73.33
1,12,8991000,8880000,111000,1.23
1,14,2725500,2725500,0,0.00
1,15,400500,399000,1500,0.37
1,16,12000,12000,0,0.00
1,18,36825000,36823500,1500,0.00
1,19,2266500,2262000,4500,0.20
1,20,10834500,10831500,3000,0.03
1,21,3660000,3657000,3000,0.08
2,0,786076500,786063000,13500,0.00
2,1,405000,396000,9000,2.22
2,3,117000,117000,0,0.00
2,4,362983500,362977500,6000,0.00
2,5,906996000,906984000,12000,0.00
2,6,395652000,395647500,4500,0.00
2,7,100500,100500,0,0.00
2,8,13500,13500,0,0.00
2,9,7726500,7726500,0,0.00
2,10,52500,52500,0,0.00
2,11,228000,49500,178500,78.29
2,12,207000,205500,1500,0.72
2,13,147000,144000,3000,2.04
2,14,38985000,32841000,6144000,15.76
2,15,1057500,1054500,3000,0.28
2,17,20479500,20475000,4500,0.02
2,18,381429000,381417000,12000,0.00
2,19,379500,376500,3000,0.79
2,20,247500,241500,6000,2.42
2,21,3396000,3331500,64500,1.90
3,0,7032000,7030500,1500,0.02
3,1,37500,37500,0,0.00
3,2,117000,117000,0,0.00
3,4,6454500,6454500,0,0.00
3,5,277500,277500,0,0.00
3,6,49077000,49075500,1500,0.00
3,8,43500,43500,0,0.00
3,9,2215500,2215500,0,0.00
3,10,9000,7500,1500,16.67
3,14,13471500,13464000,7500,0.06
3,15,270000,267000,3000,1.11
3,18,2178000,2175000,3000,0.14
3,19,1495500,1491000,4500,0.30
3,21,87000,84000,3000,3.45
4,0,72610500,72610500,0,0.00
4,1,7321500,7321500,0,0.00
4,2,15502500,15502500,0,0.00
4,3,52377000,52375500,1500,0.00
4,5,45999000,45999000,0,0.00
4,6,24781500,24781500,0,0.00
4,7,27208500,27208500,0,0.00
4,8,564000,564000,0,0.00
4,9,15642000,15640500,1500,0.01
4,10,774000,774000,0,0.00
4,11,70207500,20950500,49257000,70.16
4,12,12262500,12262500,0,0.00
4,13,222000,222000,0,0.00
4,14,92566500,92560500,6000,0.01
4,15,12376500,12375000,1500,0.01
4,16,216000,216000,0,0.00
4,17,4651500,4651500,0,0.00
4,18,146047500,146047500,0,0.00
4,19,146239500,146232000,7500,0.01
4,20,3882000,3882000,0,0.00
4,21,34462500,34459500,3000,0.01
5,0,7605000,7602000,3000,0.04
5,1,162000,162000,0,0.00
5,2,13480500,13480500,0,0.00
5,3,390000,390000,0,0.00
5,4,33537000,33537000,0,0.00
5,6,3417000,3417000,0,0.00
5,7,2067000,2067000,0,0.00
5,8,105000,103500,1500,1.43
5,9,1620000,1618500,1500,0.09
5,10,7500,7500,0,0.00
5,11,186000,42000,144000,77.42
5,12,1678500,1678500,0,0.00
5,13,313500,313500,0,0.00
5,14,3037500,2614500,423000,13.93
5,15,1380000,1378500,1500,0.11
5,16,139500,136500,3000,2.15
5,17,721500,720000,1500,0.21
5,18,1720500,1717500,3000,0.17
5,19,442500,436500,6000,1.36
5,20,69000,64500,4500,6.52
5,21,4875000,4875000,0,0.00
6,0,1762500,1761000,1500,0.09
6,1,1147500,1147500,0,0.00
6,2,6468000,6468000,0,0.00
6,3,4536000,4536000,0,0.00
6,4,6729000,6729000,0,0.00
6,5,10750500,10750500,0,0.00
6,7,2149500,2149500,0,0.00
6,8,76500,75000,1500,1.96
6,9,229500,229500,0,0.00
6,10,13500,13500,0,0.00
6,11,411000,66000,345000,83.94
6,12,421500,421500,0,0.00
6,13,52500,52500,0,0.00
6,14,109087500,109086000,1500,0.00
6,15,2104500,2103000,1500,0.07
6,16,1864500,1861500,3000,0.16
6,17,295500,295500,0,0.00
6,18,17368500,17367000,1500,0.01
6,19,1120500,1119000,1500,0.13
6,20,544500,541500,3000,0.55
6,21,3652500,3652500,0,0.00
7,0,15996000,15993000,3000,0.02
7,1,108000,82500,25500,23.61
7,2,5253000,5253000,0,0.00
7,3,1050000,1024500,25500,2.43
7,4,778885500,733864500,45021000,5.78
7,5,778500,778500,0,0.00
7,6,760500,760500,0,0.00
7,8,396000,393000,3000,0.76
7,9,10726500,10719000,7500,0.07
7,10,27000,24000,3000,11.11
