src,dst,path_idx,path_hops,sent_bytes,delivered_bytes,loss_bytes,loss_pct
0,1,0,q_r1_r5 | q_r5_r7 | q_r7_r2,49500,49500,0,0.00
0,1,1,q_r1_r3 | q_r3_r7 | q_r7_r2,1908000,1908000,0,0.00
0,1,2,q_r1_r5 | q_r5_r15 | q_r15_r2,3757500,3757500,0,0.00
0,2,0,q_r1_r3,17830500,17830500,0,0.00
0,4,0,q_r1_r5,6964500,6964500,0,0.00
0,4,1,q_r1_r3 | q_r3_r13 | q_r13_r5,7500,7500,0,0.00
0,4,2,q_r1_r3 | q_r3_r7 | q_r7_r5,21000,21000,0,0.00
0,4,3,q_r1_r16 | q_r16_r22 | q_r22_r19 | q_r19_r5,13500,13500,0,0.00
0,6,0,q_r1_r5 | q_r5_r7,129000,129000,0,0.00
0,6,1,q_r1_r3 | q_r3_r7,282000,282000,0,0.00
0,7,0,q_r1_r5 | q_r5_r8,18840000,18840000,0,0.00
0,7,1,q_r1_r3 | q_r3_r13 | q_r13_r8,4032000,4032000,0,0.00
0,7,2,q_r1_r5 | q_r5_r13 | q_r13_r8,24525000,24523500,1500,0.01
0,7,3,q_r1_r3 | q_r3_r13 | q_r13_r5 | q_r5_r8,46500,46500,0,0.00
0,8,0,q_r1_r20 | q_r20_r9,49011000,49008000,3000,0.01
0,8,1,q_r1_r10 | q_r10_r9,20350500,20349000,1500,0.01
0,8,2,q_r1_r5 | q_r5_r4 | q_r4_r21 | q_r21_r10 | q_r10_r9,24711000,24709500,1500,0.01
0,8,3,q_r1_r3 | q_r3_r13 | q_r13_r5 | q_r5_r4 | q_r4_r21 | q_r21_r10 | q_r10_r9,1738500,1738500,0,0.00
0,9,0,q_r1_r10,342544500,342543000,1500,0.00
0,10,0,q_r1_r5 | q_r5_r11,28500,28500,0,0.00
0,10,2,q_r1_r5 | q_r5_r19 | q_r19_r22 | q_r22_r11,34500,34500,0,0.00
0,11,0,q_r1_r5 | q_r5_r13 | q_r13_r12,1126500,189000,937500,83.22
0,11,1,q_r1_r3 | q_r3_r13 | q_r13_r12,45826500,9307500,36519000,79.69
0,11,2,q_r1_r5 | q_r5_r15 | q_r15_r12,47614500,22570500,25044000,52.60
0,11,3,q_r1_r16 | q_r16_r22 | q_r22_r15 | q_r15_r12,334500,82500,252000,75.34
0,12,0,q_r1_r5 | q_r5_r13,3250500,3250500,0,0.00
0,12,1,q_r1_r3 | q_r3_r13,4119000,4119000,0,0.00
0,12,3,q_r1_r3 | q_r3_r7 | q_r7_r6 | q_r6_r13,4500,4500,0,0.00
0,14,0,q_r1_r5 | q_r5_r15,1638000,1638000,0,0.00
0,15,0,q_r1_r16,1171500,1171500,0,0.00
0,17,1,q_r1_r5 | q_r5_r13 | q_r13_r6 | q_r6_r18,13500,13500,0,0.00
0,17,2,q_r1_r3 | q_r3_r13 | q_r13_r6 | q_r6_r18,60000,60000,0,0.00
0,17,3,q_r1_r5 | q_r5_r19 | q_r19_r22 | q_r22_r18,4500,4500,0,0.00
0,18,0,q_r1_r5 | q_r5_r19,202777500,202773000,4500,0.00
0,18,2,q_r1_r5 | q_r5_r7 | q_r7_r22 | q_r22_r19,10296000,10294500,1500,0.01
0,18,3,q_r1_r3 | q_r3_r13 | q_r13_r5 | q_r5_r19,1848000,1848000,0,0.00
