flow_id,src,dst,path_idx,path_hops,demand_mbps,rate_mbps,sent_bytes,delivered_bytes,loss_bytes,loss_pct
1,0,1,0,q_r1_r5 | q_r5_r7 | q_r7_r2,24.2076,0.2035,51000,51000,0,0.00
2,0,1,1,q_r1_r3 | q_r3_r7 | q_r7_r2,24.2076,8.0829,2022000,2022000,0,0.00
3,0,1,2,q_r1_r5 | q_r5_r15 | q_r15_r2,24.2076,15.9206,3981000,3981000,0,0.00
4,0,2,0,q_r1_r3,96.9363,96.9363,24235500,24234000,1500,0.01
5,0,4,0,q_r1_r5,54.9790,54.6644,13666500,13666500,0,0.00
6,0,4,1,q_r1_r3 | q_r3_r13 | q_r13_r5,54.9790,0.0514,13500,13500,0,0.00
7,0,4,2,q_r1_r3 | q_r3_r7 | q_r7_r5,54.9790,0.1608,40500,40500,0,0.00
8,0,4,3,q_r1_r16 | q_r16_r22 | q_r22_r19 | q_r19_r5,54.9790,0.1025,27000,27000,0,0.00
9,0,6,0,q_r1_r5 | q_r5_r7,2.6784,0.8362,210000,210000,0,0.00
10,0,6,1,q_r1_r3 | q_r3_r7,2.6784,1.8361,460500,460500,0,0.00
11,0,7,0,q_r1_r5 | q_r5_r8,262.3028,104.1671,26043000,26041500,1500,0.01
12,0,7,1,q_r1_r3 | q_r3_r13 | q_r13_r8,262.3028,22.2880,5572500,5572500,0,0.00
13,0,7,2,q_r1_r5 | q_r5_r13 | q_r13_r8,262.3028,135.5970,33900000,33900000,0,0.00
14,0,7,3,q_r1_r3 | q_r3_r13 | q_r13_r5 | q_r5_r8,262.3028,0.2506,63000,63000,0,0.00
15,0,8,0,q_r1_r20 | q_r20_r9,430.6979,220.3248,55081500,55080000,1500,0.00
16,0,8,1,q_r1_r10 | q_r10_r9,430.6979,91.4793,22870500,22870500,0,0.00
17,0,8,2,q_r1_r5 | q_r5_r4 | q_r4_r21 | q_r21_r10 | q_r10_r9,430.6979,111.0838,27771000,27771000,0,0.00
18,0,8,3,q_r1_r3 | q_r3_r13 | q_r13_r5 | q_r5_r4 | q_r4_r21 | q_r21_r10 | q_r10_r9,430.6979,7.8100,1953000,1953000,0,0.00
19,0,9,0,q_r1_r10,1657.1030,1645.5453,411387000,411385500,1500,0.00
20,0,9,1,q_r1_r20 | q_r20_r9 | q_r9_r10,1657.1030,0.4587,115500,115500,0,0.00
21,0,9,2,q_r1_r5 | q_r5_r4 | q_r4_r21 | q_r21_r10,1657.1030,8.8948,2224500,2224500,0,0.00
22,0,9,3,q_r1_r3 | q_r3_r13 | q_r13_r5 | q_r5_r4 | q_r4_r21 | q_r21_r10,1657.1030,2.2043,552000,552000,0,0.00
23,0,10,0,q_r1_r5 | q_r5_r11,0.1616,0.0729,19500,19500,0,0.00
24,0,10,2,q_r1_r5 | q_r5_r19 | q_r19_r22 | q_r22_r11,0.1616,0.0885,22500,22500,0,0.00
25,0,11,0,q_r1_r5 | q_r5_r13 | q_r13_r12,427.9392,5.0738,1269000,186000,1083000,85.34
26,0,11,1,q_r1_r3 | q_r3_r13 | q_r13_r12,427.9392,206.6496,51663000,10087500,41575500,80.47
27,0,11,2,q_r1_r5 | q_r5_r15 | q_r15_r12,427.9392,214.7095,53677500,22857000,30820500,57.42
28,0,11,3,q_r1_r16 | q_r16_r22 | q_r22_r15 | q_r15_r12,427.9392,1.5064,378000,106500,271500,71.83
29,0,12,0,q_r1_r5 | q_r5_r13,33.8282,14.9128,3729000,3729000,0,0.00
