src,dst,demand_mbps,sent_bytes,delivered_bytes,loss_bytes,loss_pct
0,1,24.2076,6054000,6054000,0,0.00
0,2,96.9363,24235500,24234000,1500,0.01
0,4,54.9790,13747500,13747500,0,0.00
0,6,2.6784,670500,670500,0,0.00
0,7,262.3028,65578500,65577000,1500,0.00
0,8,430.6979,107676000,107674500,1500,0.00
0,9,1657.1030,414279000,414277500,1500,0.00
0,10,0.1616,42000,42000,0,0.00
0,11,427.9392,106987500,33237000,73750500,68.93
0,12,33.8282,8460000,8460000,0,0.00
0,14,7.6409,1909500,1909500,0,0.00
0,15,6.4807,1621500,1621500,0,0.00
0,17,0.0296,6000,4500,1500,25.00
0,18,1030.9665,257743500,257739000,4500,0.00
0,19,1506.4139,376606500,376593000,13500,0.00
0,21,0.6048,151500,148500,3000,1.98
1,0,11.3804,2844000,2844000,0,0.00
1,2,4.5906,1147500,1147500,0,0.00
1,3,0.3089,75000,75000,0,0.00
1,4,23.7470,5937000,5937000,0,0.00
1,5,0.5106,129000,129000,0,0.00
1,6,19.1003,4776000,4776000,0,0.00
1,9,86.7939,21700500,21699000,1500,0.01
1,10,0.0538,16500,16500,0,0.00
1,11,0.4574,117000,28500,88500,75.64
1,12,0.0214,6000,6000,0,0.00
1,13,0.2654,69000,69000,0,0.00
1,14,7.7459,1936500,1935000,1500,0.08
1,15,3.7371,936000,934500,1500,0.16
1,16,40.2151,10057500,10053000,4500,0.04
1,17,8.5402,2137500,2134500,3000,0.14
1,18,157.8202,39457500,39451500,6000,0.02
1,21,1.8493,465000,462000,3000,0.65
2,0,5422.9394,1355739000,1355718000,21000,0.00
2,1,3.1297,784500,765000,19500,2.49
2,3,1.2277,310500,310500,0,0.00
2,4,1779.2742,444820500,444816000,4500,0.00
2,5,4955.6211,1238910000,1238886000,24000,0.00
2,6,2618.3429,654589500,654580500,9000,0.00
2,7,0.3869,97500,97500,0,0.00
2,8,0.1857,48000,46500,1500,3.12
2,9,34.3760,8595000,8593500,1500,0.02
2,10,2.9759,748500,747000,1500,0.20
2,11,2.6419,663000,138000,525000,79.19
2,12,0.6804,169500,168000,1500,0.88
2,13,0.7384,187500,183000,4500,2.40
2,14,156.8139,39205500,32956500,6249000,15.94
2,15,3.1167,781500,777000,4500,0.58
2,17,80.3451,20089500,20083500,6000,0.03
2,18,2625.8541,656467500,656445000,22500,0.00
2,19,3.0246,759000,756000,3000,0.40
2,20,1.1167,280500,274500,6000,2.14
2,21,13.9311,3484500,3417000,67500,1.94
3,0,49.6382,12409500,12408000,1500,0.01
3,1,0.0504,13500,13500,0,0.00
3,2,0.6522,165000,165000,0,0.00
3,4,15.6764,3919500,3919500,0,0.00
3,5,0.5136,130500,130500,0,0.00
3,6,1.3908,348000,348000,0,0.00
3,8,0.0459,12000,12000,0,0.00
3,9,9.1258,2283000,2283000,0,0.00
3,12,1.5182,378000,378000,0,0.00
3,13,0.3137,82500,78000,4500,5.45
3,14,31.6818,7924500,7918500,6000,0.08
3,15,1.0624,268500,265500,3000,1.12
3,18,8.0569,2016000,2013000,3000,0.15
3,19,7.4617,1867500,1863000,4500,0.24
3,21,0.3101,79500,76500,3000,3.77
4,0,529.8811,132472500,132469500,3000,0.00
4,1,58.2725,14569500,14569500,0,0.00
4,2,97.7687,24445500,24445500,0,0.00
4,3,234.6840,58671000,58671000,0,0.00
4,5,152.6529,38166000,38164500,1500,0.00
4,6,128.3811,32094000,32094000,0,0.00
4,7,118.7981,29700000,29700000,0,0.00
4,8,3.5589,892500,891000,1500,0.17
4,9,65.7160,16431000,16431000,0,0.00
4,10,5.3099,1329000,1329000,0,0.00
4,11,281.3824,70350000,18411000,51939000,73.83
4,12,35.7896,8947500,8947500,0,0.00
4,13,0.7764,196500,196500,0,0.00
4,14,74.6353,18660000,18658500,1500,0.01
4,15,57.4447,14365500,14364000,1500,0.01
4,16,1.6606,417000,417000,0,0.00
4,17,16.5637,4144500,4144500,0,0.00
4,18,651.4130,162856500,162855000,1500,0.00
4,19,733.4789,183372000,183369000,3000,0.00
4,20,56.3203,14082000,14082000,0,0.00
4,21,142.6509,35665500,35662500,3000,0.01
5,0,25.8994,6478500,6475500,3000,0.05
5,1,0.8597,216000,216000,0,0.00
5,2,81.4805,20371500,20371500,0,0.00
5,3,1.2023,303000,301500,1500,0.50
5,4,152.1534,38040000,38040000,0,0.00
5,6,31.5831,7896000,7896000,0,0.00
5,7,8.1857,2044500,2044500,0,0.00
5,8,0.0709,19500,18000,1500,7.69
5,9,12.2084,3054000,3051000,3000,0.10
5,10,0.0952,22500,21000,1500,6.67
5,11,2.5480,639000,154500,484500,75.82
5,12,28.8354,7209000,7209000,0,0.00
5,13,0.1626,42000,40500,1500,3.57
5,14,16.2534,4066500,3504000,562500,13.83
5,15,6.2191,1552500,1551000,1500,0.10
5,16,0.9166,229500,226500,3000,1.31
5,17,2.9771,745500,744000,1500,0.20
5,18,7.1845,1798500,1794000,4500,0.25
5,19,1.4699,372000,366000,6000,1.61
5,20,0.0245,4500,3000,1500,33.33
5,21,24.5536,6136500,6136500,0,0.00
6,0,4.9834,1246500,1246500,0,0.00
6,1,12.9810,3249000,3249000,0,0.00
6,2,46.9888,11749500,11748000,1500,0.01
6,3,11.9825,2997000,2995500,1500,0.05
6,4,40.3589,10092000,10092000,0,0.00
