src,dst,path_idx,path_hops,demand_mbps,sent_bytes,delivered_bytes,loss_bytes,loss_pct
0,1,0,q_r1_r5 | q_r5_r7 | q_r7_r2,24.2076,51000,51000,0,0.00
0,1,1,q_r1_r3 | q_r3_r7 | q_r7_r2,24.2076,2022000,2022000,0,0.00
0,1,2,q_r1_r5 | q_r5_r15 | q_r15_r2,24.2076,3981000,3981000,0,0.00
0,2,0,q_r1_r3,96.9363,24235500,24234000,1500,0.01
0,4,0,q_r1_r5,54.9790,13666500,13666500,0,0.00
0,4,1,q_r1_r3 | q_r3_r13 | q_r13_r5,54.9790,13500,13500,0,0.00
0,4,2,q_r1_r3 | q_r3_r7 | q_r7_r5,54.9790,40500,40500,0,0.00
0,4,3,q_r1_r16 | q_r16_r22 | q_r22_r19 | q_r19_r5,54.9790,27000,27000,0,0.00
0,6,0,q_r1_r5 | q_r5_r7,2.6784,210000,210000,0,0.00
0,6,1,q_r1_r3 | q_r3_r7,2.6784,460500,460500,0,0.00
0,7,0,q_r1_r5 | q_r5_r8,262.3028,26043000,26041500,1500,0.01
0,7,1,q_r1_r3 | q_r3_r13 | q_r13_r8,262.3028,5572500,5572500,0,0.00
0,7,2,q_r1_r5 | q_r5_r13 | q_r13_r8,262.3028,33900000,33900000,0,0.00
0,7,3,q_r1_r3 | q_r3_r13 | q_r13_r5 | q_r5_r8,262.3028,63000,63000,0,0.00
0,8,0,q_r1_r20 | q_r20_r9,430.6979,55081500,55080000,1500,0.00
0,8,1,q_r1_r10 | q_r10_r9,430.6979,22870500,22870500,0,0.00
0,8,2,q_r1_r5 | q_r5_r4 | q_r4_r21 | q_r21_r10 | q_r10_r9,430.6979,27771000,27771000,0,0.00
0,8,3,q_r1_r3 | q_r3_r13 | q_r13_r5 | q_r5_r4 | q_r4_r21 | q_r21_r10 | q_r10_r9,430.6979,1953000,1953000,0,0.00
0,9,0,q_r1_r10,1657.1030,411387000,411385500,1500,0.00
0,9,1,q_r1_r20 | q_r20_r9 | q_r9_r10,1657.1030,115500,115500,0,0.00
0,9,2,q_r1_r5 | q_r5_r4 | q_r4_r21 | q_r21_r10,1657.1030,2224500,2224500,0,0.00
0,9,3,q_r1_r3 | q_r3_r13 | q_r13_r5 | q_r5_r4 | q_r4_r21 | q_r21_r10,1657.1030,552000,552000,0,0.00
0,10,0,q_r1_r5 | q_r5_r11,0.1616,19500,19500,0,0.00
0,10,2,q_r1_r5 | q_r5_r19 | q_r19_r22 | q_r22_r11,0.1616,22500,22500,0,0.00
0,11,0,q_r1_r5 | q_r5_r13 | q_r13_r12,427.9392,1269000,186000,1083000,85.34
0,11,1,q_r1_r3 | q_r3_r13 | q_r13_r12,427.9392,51663000,10087500,41575500,80.47
0,11,2,q_r1_r5 | q_r5_r15 | q_r15_r12,427.9392,53677500,22857000,30820500,57.42
0,11,3,q_r1_r16 | q_r16_r22 | q_r22_r15 | q_r15_r12,427.9392,378000,106500,271500,71.83
0,12,0,q_r1_r5 | q_r5_r13,33.8282,3729000,3729000,0,0.00
0,12,1,q_r1_r3 | q_r3_r13,33.8282,4726500,4726500,0,0.00
0,12,3,q_r1_r3 | q_r3_r7 | q_r7_r6 | q_r6_r13,33.8282,4500,4500,0,0.00
0,14,0,q_r1_r5 | q_r5_r15,7.6409,1909500,1909500,0,0.00
0,15,0,q_r1_r16,6.4807,1621500,1621500,0,0.00
0,17,2,q_r1_r3 | q_r3_r13 | q_r13_r6 | q_r6_r18,0.0296,6000,4500,1500,25.00
0,18,0,q_r1_r5 | q_r5_r19,1030.9665,243178500,243177000,1500,0.00
0,18,2,q_r1_r5 | q_r5_r7 | q_r7_r22 | q_r22_r19,1030.9665,12348000,12345000,3000,0.02
0,18,3,q_r1_r3 | q_r3_r13 | q_r13_r5 | q_r5_r19,1030.9665,2217000,2217000,0,0.00
0,19,0,q_r1_r20,1506.4139,233899500,233893500,6000,0.00
0,19,1,q_r1_r10 | q_r10_r9 | q_r9_r20,1506.4139,61438500,61437000,1500,0.00
